ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men's Slim Fit Lavender Cotton Abstract Sleeveless WaistCoat,7639412408536,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Rust Striped Slim Fit Short Sleeves Shirt,7638236299480,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Blue Casual Shoes,7614606278872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Badges Shirt,8038267748568,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Grey Solid Slim Fit Long Sleeves Shirt,7597928087768,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Black Solid Slim Fit Stretchable Jeans,7769192661208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket (New),8170271080664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Abstract Lounge Pants,7639401496792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Regular Fit Solid Trucker Jacket,7831899635928,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Green Solid Slim Fit Chinos,7602514854104,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Relax Fit Checked Cream Waffle Resortwear Shirt,8009496133848,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Regular Fit Solid Hooded Crop Sweatshirt,7917510033624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket,8149955117272,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Pu Slip-On Black Casual Shoes,7974589923544,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
GDS Berry Lace-Ups Blue Casual Shoes UK 191,7974594248920,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women High Neck Zip Front Puffer Jacket,8134440419544,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Hooded Sweatshirt,8133643010264,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Puffer Jacket,8046851391704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Navy Blue Slim Fit Checked Casual Shirt,8501111587032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8037367480536,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Cropped Solid Shirt,8044921159896,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Casual Shirts,8039664910552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jeans Denim,8046577844440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Celebrity Shirt,8046551335128,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Navy Blue Cotton Multi Stripes Long Sleeves Shirt,7639406149848,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Denim Jogger Jean,8046846771416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Slim Jeans,8133645074648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jogger Pant,8149935030488,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Graphic Shirt,8140525830360,0,0,,0,0,,,11,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,27,,,0,,,,,0,,0,
Men Coordinates,8140526715096,0,0,,0,0,,,8,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,23,,,0,,,,,0,,0,
Men Knitted Trouser,8133644583128,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Men Basic T-Shirt,8134465814744,0,0,,0,0,,,30,2,0,6.67,,,0,0,,,0,0,,,0,0,,,,,,,,,,,79,,,0,,,,,0,,0,
Men Formal Shirt,8149928280280,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Solid Top,8218476904664,0,0,,0,0,,,8,1,0,12.50,,,0,0,,,0,0,,,0,0,,,,,,,,,,,20,,,0,,,,,0,,0,
Beige Jackets,7639412015320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Red Striped Tapered High-Rise Pants,7824292675800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Biker Jacket,8162512961752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Brown Jackets,7610196328664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Green Cotton Checkered Long Sleeves Shirt,7639401824472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Pink Tropical Slim Fit Long Sleeves Shirt,7814812336344,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Maxi Dress,8149823357144,0,0,,0,0,,,0,0,0,,,,0,0,,,166,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Tropical Slim Fit Short Sleeves Shirt,7823656255704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Sky Blue Checkered Slim Fit Long Sleeves Shirt,7916676415704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Striped Slim Fit Short Sleeves Shirt,7916670714072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Yellow Striped Boxy Fit Boxer,7597924548824,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8046552973528,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Green Solid Slim Fit Long Sleeves Shirt,7638239805656,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Checked Shirt,8170278322392,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Black Stretchable Slim Fit High-Rise Distressed Jeans,8011160518872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Abstract Slim Fit Lounge Sets,7634144395480,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8162512896216,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Textured Slim Fit Shirt,8438888169688,0,0,,0,0,,,46,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,115,,,0,,,,,0,,0,
Men's Slim Fit Khaki Polyester Solid Pyjamas,7873024884952,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Navy Blue Solid Slim Fit Shorts,7669825110232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Conversational Print Navy Blue Casual Shirt,7997271441624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Blue Cotton Solid Slim Fit Formal Shirt,8029974528216,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Tigc_Product Title,8149930967256,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama,8168309162200,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Shirt,8149913075928,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Polycotton Solid Jogger,7597925531864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Hooded Longlenght Sweatshirt,8149767684312,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Elasticated Strapy Dress,8044918964440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Athleisure Sweatshirt,8039680966872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8136716714200,621,0,,0,0,,,89,1,1,1.12,100.00,1.12,0,0,,,0,0,,,0,0,,,,,,,,,,,225,,,1,,2.76,,36.26,0,225,0,225
Mens Solid Regular Fit Sweatshirt,8149817917656,0,0,,0,0,,,0,0,0,,,,0,0,,,193,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Green Solid Slim Fit Kurta,7610244694232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knit Tracksuit,8134466961624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Relaxed Fit Jeans,8214347251928,0,0,,0,0,,,5,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,15,,,0,,,,,0,,0,
Men Slim Fit Jeans,8134408437976,0,0,,0,0,,,17,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,45,,,0,,,,,0,,0,
Men Slim Fit Luxe Formal Shirt,8211680067800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Mid-Rise Chino,8133640356056,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Shirt,8214354034904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Distressed Slim Fit Jeans,8149739634904,0,0,,0,0,,,0,0,0,,,,0,0,,,48,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Flare Pants With Curved Hem,8134429802712,0,0,,0,0,,,1,0,0,,,,0,0,,,30,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Printed Shirt,8046549893336,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Five Pocket Chino,8140546932952,0,0,,0,0,,,11,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,27,,,0,,,,,0,,0,
Women Printed Striped A-Line Dress,8134440911064,0,0,,0,0,,,0,0,0,,,,0,0,,,2,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8037365252312,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8214355706072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed T-shirt,8255132303576,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Solid G142 Bootcut Loose Fit Jeans,8410957709528,0,0,,0,0,,,28,1,0,3.57,,,0,0,,,0,0,,,0,0,,,,,,,,,,,74,,,0,,,,,0,,0,
Men Resort Shirt,8134422495448,0,0,,0,0,,,17,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,41,,,0,,,,,0,,0,
Men Printed Shirt,8154107871448,0,0,,0,0,,,10,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,26,,,0,,,,,0,,0,
Women Trucker Jacket,8136363376856,0,0,,0,0,,,3,0,0,,,,0,0,,,14,0,,,0,0,,,,,,,,,,,7,,,0,,,,,0,,0,
Men's Polyester Yellow Solid Slim Fit Long Sleeves Jackets,7669826846936,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Polo T-Shirt,8149867364568,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Biker Jacket,8140524749016,0,0,,0,0,,,9,1,0,11.11,,,0,0,,,0,0,,,0,0,,,,,,,,,,,24,,,0,,,,,0,,0,
Men Printed Shirt,8153517359320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Jogger,8134445236440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Drop Shoulder T-Shirt,8149920645336,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Joggers,8038338298072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Shirt,8149874311384,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Womens Solid Regular Fit Sweatshirt,8140529271000,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Chino,8149864251608,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Satin Jogger With Contrast Piping,8134437273816,0,0,,0,0,,,0,0,0,,,,0,0,,,5,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Regular Fit Blue Cotton Solid Paperbag Trousers,7831901569240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8217229131992,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Shirt,8149874868440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8046573813976,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Burgundy Jackets,7639412310232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Orange Printed Slim Fit Shorts,7977089466584,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jogger Biker,8134373441752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8155579842776,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Polo T-Shirt,8134406766808,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Yellow Casual Shoes,7607124033752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8238615265496,0,0,,0,0,,,8,1,0,12.50,,,0,0,,,57,0,,,0,0,,,,,,,,,,,19,,,0,,,,,0,,0,
Men Plus Size Slim Fit Jeans,8149842919640,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Detachable Hood Crop Jacket,8149771190488,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8037365121240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Red Oversized Fit Back Printed T-Shirt,8438886236376,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men SweatShirt,8149817426136,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8168301494488,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8164041326808,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8170275373272,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Beige Solid Slim Fit Formal Shirt,8029979017432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Crewneck T-Shirt,8162510635224,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Short Kurta,8149904949464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Teal Solid Slim Fit Co-ordinates,7669822488792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fit and Flare Mid Rise Rib Trouser,8044926402776,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fitted Full Sleeve Rib Top,8150964994264,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Hooded Co-Ord Set,8149894562008,0,0,,0,0,,,1,0,0,,,,0,0,,,38,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men's Cotton Brown Solid Slim Fit Shorts,7617251475672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Navy Tropical Slim Fit Short Sleeves Shirt,7927660085464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Red Regular Fit Solid Trucker Jacket,7831899406552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Back Printed Denim Jacket,8044639617240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Navy Blue Cotton Checkered Short Sleeves Lounge Sets,7620660035800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8046760853720,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Floral Printed Square Neck Smoked Top,8140543262936,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Checkered Slim Fit Long Sleeves Shirt,7823654158552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Shirt,8044339921112,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Coral Checkered Slim Fit Long Sleeves Shirt,7733789524184,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Burgundy Comfort Straight Fit Solid Luxe Blazer,8501109555416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Abstract Print Multicolor Casual Shirt,7997271605464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Fit Stretchable Jeans,7842064859352,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Oxform Bomber Jacket,8038211256536,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Checkered Slim Fit Long Sleeves Shirt,7638232334552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama,8149779677400,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama Set,8149782298840,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Nehru Waistcoat,8149719154904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Shirt,8149950038232,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,6,,,0,,,,,0,,0,
Men Nautical Shirt,8037375738072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8214355837144,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Relaxed Fit Jeans,8214349185240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Solid Slim Fit Long Sleeves Shirt,7602528485592,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Pu-Lace-Ups-White-Casual Shoes,7974588448984,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Linen Flare Pant,8140543918296,0,0,,0,0,,,1,0,0,,,,0,0,,,6,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Boxer Shorts,8149834563800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Abstract Boxer,7637631533272,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Back Printed Regular Fit Sweatshirt,8149791408344,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Checked Casual Shirt,8136364064984,0,0,,0,0,,,11,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,29,,,0,,,,,0,,0,
Men's Cotton Green Checkered Slim Fit Long Sleeves Shirt,7638235087064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Navy Blue Tie and Dye Empire Line Midi Dress,7831893246168,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPoly Blue Typography Slim Fit Long Sleeves SweatShirt,7669827731672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Basic T-Shirt,8150964568280,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
