ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Red Oversized Fit Printed T-Shirt,8438885744856,"1,122",774,20.18,794,"1,122",1.41,1.41,264,11,2,4.17,18.18,0.76,"17,703",226,1.28,3.42,"3,203",10,0.31,2.02,0,0,,,,,,,,,,,673,70.75,59.94,2,1.67,1.67,70.75,59.94,397,336,397,336
Men Printed Shirt,8149743698136,656,449,5.66,454,623,1.37,1.44,246,15,1,6.10,6.67,0.41,"5,708",165,2.89,2.72,"1,530",4,0.26,1.41,0,0,,,,,,,,,,,628,72.90,100.72,1,0.99,1.05,69.25,95.68,454,628,454,628
Men Striped Shirt,8137695527128,687,474,1.00,475,"1,450",3.05,1.45,209,15,1,7.18,6.67,0.48,"5,105",212,4.15,2.23,348,1,0.29,1.00,0,0,,,,,,,,,,,538,32.73,37.12,2,2.69,1.28,69.11,78.36,237,269,475,538
Men Printed Oversized T-shirt,8255134269656,447,304,,304,425,1.40,1.47,137,5,1,3.65,20.00,0.73,"6,196",112,1.81,2.72,0,0,,,0,0,,,,,,,,,,,409,71.58,96.23,1,1.04,1.09,68.00,91.42,304,409,304,409
Men Nautical Shirt,8134374228184,621,385,4.22,389,621,1.60,1.60,208,10,1,4.81,10.00,0.48,"4,023",122,3.03,3.15,166,2,1.20,2.11,0,0,,,,,,,,,,,601,62.60,96.81,1,1.03,1.03,62.60,96.81,389,601,389,601
Men Linen Overshirt,8140555092184,"1,246",699,69.79,768,"1,902",2.48,1.62,360,17,2,4.72,11.76,0.56,"6,938",251,3.62,2.78,"3,064",32,1.04,2.18,0,0,,,,,,,,,,,925,40.40,48.65,3,2.06,1.35,61.66,74.25,256,308,384,463
Women Solid Top,8401332535512,603,0,364.91,365,603,1.65,1.65,"2,059",3,1,0.15,33.33,0.05,0,0,,,"30,719",119,0.39,3.07,0,0,,,,,,,,,,,"5,386",60.52,893.19,1,0.11,0.11,60.52,893.19,365,"5,386",365,"5,386"
Men Checked Shirt,8140552175832,727,425,,425,727,1.71,1.71,313,13,1,4.15,7.69,0.32,"6,524",187,2.87,2.27,12,0,,,0,0,,,,,,,,,,,744,58.46,102.31,1,0.98,0.98,58.46,102.31,425,744,425,744
Men Striped Shirt,8182403694808,"1,213",188,516.75,705,"2,433",3.45,1.72,529,24,2,4.54,8.33,0.38,"2,494",96,3.85,1.96,"24,277",229,0.94,2.26,0,0,,,,,,,,,,,"1,361",28.96,55.94,4,1.79,0.89,58.09,112.19,176,340,352,681
Men Relaxed Fit Jeans,8214347776216,"4,170","2,153",250.57,"2,404","4,883",2.03,1.73,979,59,5,6.03,8.47,0.51,"38,600",658,1.70,3.27,"5,191",69,1.33,3.63,0,0,,,,,,,,,,,"2,552",49.22,52.26,7,1.91,1.63,57.64,61.20,343,365,481,510
Men Casual Trouser,8134409715928,"2,213",801,463.76,"1,264","2,140",1.69,1.75,654,29,3,4.43,10.34,0.46,"7,309",276,3.78,2.90,"13,618",156,1.15,2.97,2,"1,550",3.34,,,,,,,,,,"1,624",59.07,75.86,3,1.32,1.36,57.14,73.38,421,541,421,541
Men Solid Overshirt,8140552601816,"2,235",349,926.79,"1,276","2,235",1.75,1.75,709,31,3,4.37,9.68,0.42,"3,029",125,4.13,2.79,"28,598",541,1.89,1.71,4,"3,499",3.78,,,,,,,,,,"1,881",57.07,84.14,4,1.19,1.19,57.07,84.14,319,470,425,627
Men Striped Chino,8134454116568,"1,955","1,060",31.38,"1,091","1,924",1.76,1.79,640,42,3,6.56,7.14,0.47,"11,106",449,4.04,2.36,"1,089",14,1.29,2.24,0,0,,,,,,,,,,,"1,656",56.71,86.05,3,1.16,1.18,55.83,84.71,364,552,364,552
Men Checks Shirt,8134443860184,559,304,7.61,311,559,1.80,1.80,270,13,1,4.81,7.69,0.37,"6,316",200,3.17,1.52,958,1,0.10,7.61,0,0,,,,,,,,,,,688,55.69,123.08,1,0.81,0.81,55.69,123.08,311,688,311,688
Men Printed Lounge Pant,8134452052184,479,240,24.77,265,479,1.81,1.81,137,3,1,2.19,33.33,0.73,"2,158",119,5.51,2.02,711,3,0.42,8.26,0,0,,,,,,,,,,,350,55.37,73.15,1,1.37,1.37,55.37,73.15,265,350,265,350
